id,operation,admin0Name,admin0Pcode,admin1Name,admin1Pcode,admin2Name,admin2Pcode,adminLevel,numPresentIdpInd,reportingDate,yearReportingDate,monthReportingDate,roundNumber,assessmentType,operationStatus
#id+code,#operation+name,#country+name,#country+code,#adm1+name,#adm1+code,#adm2+name,#adm2+code,#adm+level,#affected+idps,#date+reported,#date+year+reported,#date+month+reported,#round+code,#assessment+type,#operation+status
2437491,Displacement due to conflict,Lebanon,LBN,Beirut,LB1,,,1,1953,2023-10-16T00:00:00,2023,10,3,BA,Active
2438851,Displacement due to conflict,Lebanon,LBN,South,LB6,,,1,1609,2023-10-16T00:00:00,2023,10,3,BA,Active
2438770,Displacement due to conflict,Lebanon,LBN,North,LB5,,,1,3,2023-10-16T00:00:00,2023,10,3,BA,Active
2437653,Displacement due to conflict,Lebanon,LBN,El Nabatieh,LB4,,,1,982,2023-10-16T00:00:00,2023,10,3,BA,Active
2437654,Displacement due to conflict,Lebanon,LBN,El Nabatieh,LB4,,,1,1082,2023-10-17T00:00:00,2023,10,4,BA,Active
2438690,Displacement due to conflict,Lebanon,LBN,Mount Lebanon,LB3,,,1,4105,2023-10-17T00:00:00,2023,10,4,BA,Active
2438771,Displacement due to conflict,Lebanon,LBN,North,LB5,,,1,38,2023-10-17T00:00:00,2023,10,4,BA,Active
2438852,Displacement due to conflict,Lebanon,LBN,South,LB6,,,1,1650,2023-10-17T00:00:00,2023,10,4,BA,Active
2437492,Displacement due to conflict,Lebanon,LBN,Beirut,LB1,,,1,2157,2023-10-17T00:00:00,2023,10,4,BA,Active
2436486,Displacement due to conflict,Lebanon,LBN,Baalbek-El Hermel,LB8,,,1,1008,2023-10-17T00:00:00,2023,10,4,BA,Active
2437573,Displacement due to conflict,Lebanon,LBN,Bekaa,LB2,,,1,485,2023-10-17T00:00:00,2023,10,4,BA,Active
2437574,Displacement due to conflict,Lebanon,LBN,Bekaa,LB2,,,1,575,2023-10-18T00:00:00,2023,10,5,BA,Active
2436487,Displacement due to conflict,Lebanon,LBN,Baalbek-El Hermel,LB8,,,1,1018,2023-10-18T00:00:00,2023,10,5,BA,Active
2437493,Displacement due to conflict,Lebanon,LBN,Beirut,LB1,,,1,2187,2023-10-18T00:00:00,2023,10,5,BA,Active
2438853,Displacement due to conflict,Lebanon,LBN,South,LB6,,,1,3209,2023-10-18T00:00:00,2023,10,5,BA,Active
2438772,Displacement due to conflict,Lebanon,LBN,North,LB5,,,1,38,2023-10-18T00:00:00,2023,10,5,BA,Active
2438691,Displacement due to conflict,Lebanon,LBN,Mount Lebanon,LB3,,,1,4610,2023-10-18T00:00:00,2023,10,5,BA,Active
2437655,Displacement due to conflict,Lebanon,LBN,El Nabatieh,LB4,,,1,1217,2023-10-18T00:00:00,2023,10,5,BA,Active
2437656,Displacement due to conflict,Lebanon,LBN,El Nabatieh,LB4,,,1,2692,2023-10-21T00:00:00,2023,10,6,BA,Active
2438773,Displacement due to conflict,Lebanon,LBN,North,LB5,,,1,98,2023-10-21T00:00:00,2023,10,6,BA,Active
2438854,Displacement due to conflict,Lebanon,LBN,South,LB6,,,1,4761,2023-10-21T00:00:00,2023,10,6,BA,Active
